school_id,dep_id,school_name,department_name,depname_abbr,school_group_my,category_id,category_name,basic_class_rank,basic_preference_score,des_class_rank,new_des_score
41,41042,國立中正大學,哲學系,中正哲學,2,2,藝術及人文,71,1.047557,203,436.1404742
5,5032,東吳大學,哲學系,東吳哲學,4,2,藝術及人文,208,0.213462,368,390.4338838
9,9072,東海大學,哲學系,東海哲學,4,2,藝術及人文,311,-0.118422,559,344.1741594
20,20032,輔仁大學,哲學系,輔仁哲學,4,2,藝術及人文,367,-0.259586,478,364.2426404
17,17012,中國文化大學,哲學系,文化哲學,6,2,藝術及人文,768,-1.471494,679,300.3462331
45,45352,義守大學,娛樂事業管理學系活動策展組,,6,10,服務,432,-0.393499,639,318.0219703
45,45352,義守大學,娛樂事業管理學系影視娛樂組,,6,10,服務,605,-0.752463,681,300.1442298
50,50032,實踐大學,家庭研究與兒童發展系(臺北),,5,9,醫藥衛生及社會福利,401,-0.324475,599,332.9574235
59,59052,南華大學,旅遊管理學系,南華旅遊管理,6,10,服務,480,-0.49331,717,285.0949812
43,43352,中華大學,旅遊與休閒學系,中華旅遊休閒,6,10,服務,578,-0.69626,759,265.4744219
134,134492,亞洲大學,時尚設計系(服飾創意設計組),,5,2,藝術及人文,256,0.039191,561,342.6481844
134,134492,亞洲大學,時尚設計系(時尚服裝設計組),,5,2,藝術及人文,408,-0.338904,440,373.898673
65,65102,玄奘大學,時尚設計學系,玄奘時尚設計,6,2,藝術及人文,761,-1.378604,799,224.4406696
50,50602,實踐大學,時尚設計學系(高雄校區),實踐時尚設計(高雄),5,2,藝術及人文,628,-0.807618,723,283.1040205
21,21242,國立臺灣海洋大學,海洋法政學士學位學程,海洋海洋法政學程,3,4,商業、管理及法律,529,-0.583139,193,439.6465767
21,21262,國立臺灣海洋大學,海洋經營管理學士學位學程,海洋海洋經營學程,3,4,商業、管理及法律,177,0.331197,216,432.3233259
153,153122,國立金門大學,海洋與邊境管理學系,金門海洋邊境,3,4,商業、管理及法律,460,-0.455822,310,404.4931915
21,21232,國立臺灣海洋大學,海洋觀光管理學士學位學程,海洋海洋觀光學程,3,4,商業、管理及法律,331,-0.161066,195,439.5498958
42,42122,大葉大學,消防安全學士學位學程,大葉消防安全學程,6,10,服務,351,-0.221224,791,247.1648248
42,42402,大葉大學,烘焙暨飲料調製學士學位學程,大葉烘焙飲料,6,10,服務,516,-0.560237,795,235.7209776
22,22142,國立高雄師範大學,特殊教育學系,高師特殊教育,3,1,教育,80,0.949511,231,427.2667208
11,11082,國立清華大學,特殊教育學系,清大特殊教育,1,1,教育,111,0.66149,142,453.9387958
31,31032,國立臺中教育大學,特殊教育學系,中教特殊教育,3,1,教育,215,0.18785,320,401.3717637
33,33022,國立臺南大學,特殊教育學系,臺南特殊教育,3,1,教育,280,-0.042592,428,376.8360191
23,23032,國立彰化師範大學,特殊教育學系,彰師特殊教育,3,1,教育,338,-0.172898,245,422.681341
38,38042,國立臺東大學,特殊教育學系,臺東特殊教育,3,1,教育,340,-0.173721,539,349.9395606
34,34312,國立東華大學,特殊教育學系,東華特殊教育,3,1,教育,349,-0.216075,501,358.4465062
100,100032,國立嘉義大學,特殊教育學系,嘉義特殊教育,3,1,教育,435,-0.402659,438,374.1481145
35,35032,臺北市立大學,特殊教育學系,北市大特殊教育,3,1,教育,457,-0.445852,273,414.6838574
8,8342,中原大學,特殊教育學系,中原特殊教育,4,1,教育,627,-0.805747,479,363.5084921
36,36042,國立屏東大學,特殊教育學系,屏東特殊教育,3,1,教育,748,-1.235241,486,361.8772727
79,79342,真理大學,航空事業學系,,6,6,資訊通訊科技,508,-0.54326,749,270.9355847
21,21022,國立臺灣海洋大學,航運管理學系,海洋航運管理,3,10,服務,162,0.397319,175,443.5446035
51,51092,長榮大學,航運管理學系,長榮航運管理,6,10,服務,550,-0.617764,674,302.5378451
46,46363,銘傳大學,財金法律學系(台北校區),銘傳財金法律(台北),5,4,商業、管理及法律,375,-0.274511,359,392.1020983
6,6092,國立政治大學,財政學系,政大財政,1,4,商業、管理及法律,43,1.379328,31,488.5186152
99,99102,國立臺北大學,財政學系,臺北財政,2,4,商業、管理及法律,167,0.370228,61,476.9391211
5,5212,東吳大學,財務工程與精算數學系,東吳財工精算數學,4,4,商業、管理及法律,212,0.195295,190,440.4641654
15,15362,逢甲大學,財務工程與精算學士學位學程,逢甲財工精算學程,4,4,商業、管理及法律,300,-0.093062,437,374.4116014
18,18201,靜宜大學,財務工程學系,靜宜財工,6,4,商業、管理及法律,305,-0.105007,534,351.0158798
46,46364,銘傳大學,財務金融系財務金融組(台北),,5,4,商業、管理及法律,625,-0.804372,285,411.8294998
46,46364,銘傳大學,財務金融系國際金管組(台北),,5,4,商業、管理及法律,548,-0.612928,336,397.4144906
45,45172,義守大學,財務金融管理學系金融管理組,,6,4,商業、管理及法律,691,-1.017718,650,313.8769515
45,45172,義守大學,財務金融管理學系財務管理組,,6,4,商業、管理及法律,707,-1.071743,648,314.0466248
1,1512,國立臺灣大學,財務金融學系,臺大財金,1,4,商業、管理及法律,1,3.752737,6,511.4957651
41,41212,國立中正大學,財務金融學系,中正財金,2,4,商業、管理及法律,179,0.329072,104,465.8955186
16,16192,國立中央大學,財務金融學系,中央財金,2,4,商業、管理及法律,188,0.285669,44,483.7316309
3,3042,國立中興大學,財務金融學系,中興財金,2,4,商業、管理及法律,200,0.244328,66,476.2156084
34,34162,國立東華大學,財務金融學系,東華財金,3,4,商業、管理及法律,248,0.061711,237,425.5440887
8,8272,中原大學,財務金融學系,中原財金,4,4,商業、管理及法律,297,-0.083691,318,401.6122001
9,9312,東海大學,財務金融學系,東海財金,4,4,商業、管理及法律,324,-0.143456,384,386.5431181
14,14142,淡江大學,財務金融學系,淡江財金,4,4,商業、管理及法律,326,-0.146555,264,417.9442542
47,47152,世新大學,財務金融學系,世新財金,5,4,商業、管理及法律,336,-0.166079,563,342.4104614
15,15342,逢甲大學,財務金融學系,逢甲財金,4,4,商業、管理及法律,344,-0.188126,399,383.0274269
151,151172,國立聯合大學,財務金融學系,聯合財金,3,4,商業、管理及法律,370,-0.265287,409,380.1259279
58,58112,國立暨南國際大學,財務金融學系,暨南財金,3,4,商業、管理及法律,443,-0.413062,235,426.2028655
100,100162,國立嘉義大學,財務金融學系,嘉義財金,3,4,商業、管理及法律,571,-0.682253,180,443.044231
79,79182,真理大學,財務金融學系,,6,4,商業、管理及法律,701,-1.048761,743,274.0476927
59,59012,南華大學,財務金融學系,南華財金,6,4,商業、管理及法律,763,-1.393626,680,300.3093576
51,51132,長榮大學,財務金融學系,長榮財金,6,4,商業、管理及法律,773,-1.582155,635,318.9055207
36,36192,國立屏東大學,財務金融學系,屏東財金,3,4,商業、管理及法律,790,-1.828303,165,446.7837045
134,134510,亞洲大學,財務金融學系(投資理財組),,5,4,商業、管理及法律,692,-1.0191,507,356.9999178
42,42242,大葉大學,財務金融學系(投資管理組),大葉財金(投資管理),6,4,商業、管理及法律,436,-0.403539,787,253.9011933
134,134510,亞洲大學,財務金融學系(金融科技組),,5,4,商業、管理及法律,470,-0.47275,530,351.7537332
50,50142,實踐大學,財務金融學系(臺北校區),實踐財金(臺北),5,4,商業、管理及法律,488,-0.509341,589,335.6941544
42,42232,大葉大學,財務金融學系(銀行專業組),大葉財金(銀行),6,4,商業、管理及法律,554,-0.637645,783,257.9028109
17,17422,中國文化大學,財務金融學系金融行銷組,文化財金行銷,6,4,商業、管理及法律,670,-0.928486,621,323.6941844
17,17432,中國文化大學,財務金融學系財務金融組,文化財金財金,6,4,商業、管理及法律,580,-0.702308,645,314.290515
43,43509,中華大學,財務管理系(金融資訊管理組),,6,4,商業、管理及法律,802,-2.329465,686,297.8011077
43,43509,中華大學,財務管理系(財務金融管理組),,6,4,商業、管理及法律,771,-1.544198,669,304.2652246
43,43509,中華大學,財務管理系(會計資訊稅務組),,6,4,商業、管理及法律,789,-1.825157,706,287.964673
6,6232,國立政治大學,財務管理學系,政大財務管理,1,4,商業、管理及法律,22,1.825472,12,503.2948184
27,27152,國立中山大學,財務管理學系,中山財務管理,2,4,商業、管理及法律,76,1.001363,64,476.4650574
15,15102,逢甲大學,財稅學系,逢甲財稅,4,4,商業、管理及法律,469,-0.472677,435,374.6650192
20,20422,輔仁大學,財經法律學系,輔仁財經法律,4,4,商業、管理及法律,226,0.142329,155,450.1777077
101,101082,國立高雄大學,財經法律學系,高雄財經法律,3,4,商業、管理及法律,236,0.115358,137,458.4004024
41,41272,國立中正大學,財經法律學系,中正財經法律,2,4,商業、管理及法律,265,0.007008,75,475.0087031
8,8282,中原大學,財經法律學系,中原財經法律,4,4,商業、管理及法律,364,-0.249464,275,413.820287
134,134362,亞洲大學,財經法律學系(科技法律組),亞洲財經法律(科技),5,4,商業、管理及法律,752,-1.277666,208,434.6443545
134,134362,亞洲大學,財經法律學系(財經法律組),,5,4,商業、管理及法律,646,-0.860301,249,421.9562955
134,134012,亞洲大學,健康產業管理系(健康產業組),,5,9,醫藥衛生及社會福利,158,0.410213,583,337.096996
134,134012,亞洲大學,健康產業管理系(醫療機構組),,5,9,醫藥衛生及社會福利,325,-0.146477,493,359.9331461
132,132032,稻江科技暨管理學院,動畫遊戲設計學系,,6,2,藝術及人文,737,-1.210045,805,179.4441462
46,46283,銘傳大學,動漫文創設計學士學位學程,銘傳動漫文創,5,2,藝術及人文,536,-0.600067,615,328.7472634
31,31052,國立臺中教育大學,區域與社會發展學系,中教區域發展,3,3,社會科學、新聞學及圖書資訊,804,-2.394724,201,436.9246882
46,46282,銘傳大學,商品設計學系(桃園校區),銘傳商品設計,5,2,藝術及人文,266,0.002505,618,327.5327523
36,36132,國立屏東大學,商業自動化與管理學系,屏東商業自動化管理,3,4,商業、管理及法律,805,-2.469667,212,433.6121607
46,46272,銘傳大學,商業設計學系(桃園校區),銘傳商業設計,5,2,藝術及人文,277,-0.037235,581,337.6555591
8,8312,中原大學,商業設計學系商業設計組,,4,2,藝術及人文,219,0.170186,402,382.4407292
2,2112,國立臺灣師範大學,國文學系,臺師國文學,2,2,藝術及人文,48,1.34588,60,477.915615
22,22172,國立高雄師範大學,國文學系,高師國文學,3,2,藝術及人文,221,0.166169,246,422.4303317
23,23102,國立彰化師範大學,國文學系,彰師國文學,3,2,藝術及人文,307,-0.1089,199,437.1680404
33,33052,國立臺南大學,國語文學系,臺南國語文學,3,2,藝術及人文,275,-0.016707,423,377.5871061
58,58152,國立暨南國際大學,國際文教與比較教育學系,暨南國際文教,3,1,教育,317,-0.129582,353,393.1943425
46,46390,銘傳大學,國際企業貿易學位學程(台北),,5,4,商業、管理及法律,473,-0.477832,427,377.0294421
45,45312,義守大學,國際企業經營學系(國際學院),義守國企經營,6,4,商業、管理及法律,199,0.246712,724,282.9747208
17,17372,中國文化大學,國際企業管理學系,文化國企管理,6,4,商業、管理及法律,685,-0.992158,687,297.7543264
50,50341,實踐大學,國際企業管理學系日韓商務組,,5,4,商業、管理及法律,806,-2.92466,565,341.9603011
1,1522,國立臺灣大學,國際企業學系,臺大國企,1,4,商業、管理及法律,2,3.261536,3,518.2416249
58,58072,國立暨南國際大學,國際企業學系,暨南國企,3,4,商業、管理及法律,314,-0.126005,270,416.2317255
31,31092,國立臺中教育大學,國際企業學系,中教國企,3,4,商業、管理及法律,423,-0.36927,223,429.0464691
34,34152,國立東華大學,國際企業學系,東華國企,3,4,商業、管理及法律,492,-0.515122,316,402.0749075
